user,abs(Fine Arts),abs(Literature),abs(Social Studies),abs(Mathematics),abs(Biology),abs(History),abs(Other),abs(Physics),abs(Chemistry),abs(Astronomy),abs(Earth Science),Fine Arts,Literature,Social Studies,Mathematics,Biology,History,Other,Physics,Chemistry,Astronomy,Earth Science,abs(Predicted Fine Arts),abs(Predicted Literature),abs(Predicted Social Studies),abs(Predicted Mathematics),abs(Predicted Biology),abs(Predicted History),abs(Predicted Other),abs(Predicted Physics),abs(Predicted Chemistry),abs(Predicted Astronomy),abs(Predicted Earth Science),Predicted Fine Arts,Predicted Literature,Predicted Social Studies,Predicted Mathematics,Predicted Biology,Predicted History,Predicted Other,Predicted Physics,Predicted Chemistry,Predicted Astronomy,Predicted Earth Science
128,,111.210526316,88.1052631579,,,95.0666666667,140.0,,,,,,42.3684210526,1.68421052632,,,-43.0666666667,140.0,,,,,,43.3922356183,30.8872325252,,,27.2587646797,34.209674385,,,,,,43.3922356183,30.8872325252,,,27.2587646797,34.209674385,,,,
129,109.2,112.702702703,105.53125,85.5,58.5,109.0625,129.5,93.0,94.8,,,26.1,14.1621621622,-41.15625,11.5,58.5,1.6875,4.5,22.6363636364,55.6,,,42.677184547,45.7879939768,36.4282049278,30.8123789998,28.2852906806,30.5369199302,31.9828111842,23.2123330491,18.8964369874,,,42.677184547,45.7879939768,36.4282049278,30.8123789998,28.2852906806,30.5369199302,31.9828111842,23.2123330491,18.8964369874,,
130,83.0,102.7,90.8333333333,128.0,102.0,98.0833333333,80.5,94.6666666667,87.25,60.0,45.0,59.5714285714,51.2,41.9444444444,128.0,-102.0,16.25,80.5,12.0,0.25,-60.0,45.0,43.3404625891,41.5082130199,31.6823048512,33.8242893746,27.5752244253,32.2259624051,29.4184677252,24.9539669157,17.2091775424,19.6697734104,31.0456786345,43.3404625891,41.5082130199,29.8587072032,33.8242893746,27.5752244253,32.2259624051,29.4184677252,24.9539669157,17.2091775424,19.6697734104,31.0456786345
131,94.1111111111,98.0,107.5,,71.0,104.333333333,,94.8888888889,72.25,135.0,,30.3333333333,44.0,37.0,,-71.0,38.3333333333,,66.0,-56.25,-135.0,,45.3415627505,38.1231389378,36.2514137532,,27.7702539706,35.4404182483,,22.4252132295,23.1811864427,19.626688899,,45.3415627505,38.1231389378,33.5088365293,,27.7702539706,35.4404182483,,22.4252132295,23.1811864427,19.626688899,
132,110.071428571,104.62962963,96.6818181818,119.0,82.0,88.0,84.0,104.5,93.6666666667,,,63.7857142857,68.037037037,21.3181818182,-119.0,37.0,46.0,84.0,14.8333333333,93.6666666667,,,43.404305672,39.3763677038,36.182494828,31.0006613984,29.5235478845,30.8407871287,19.6920057594,24.6212177932,17.7624964231,,,43.404305672,39.3763677038,35.6707261355,31.0006613984,29.5235478845,30.8407871287,19.6920057594,24.6212177932,17.7624964231,,
133,96.75,39.25,69.5,,94.0,81.0,,36.0,,,,96.75,27.75,69.5,,-94.0,81.0,,14.0,,,,49.5497737785,39.2605270995,40.9597280978,,32.4113094555,28.510047147,,19.3197093429,,,,49.5497737785,39.2605270995,40.9597280978,,32.4113094555,28.510047147,,19.3197093429,,,
134,86.4,73.0,129.2,,78.5,79.0,,,,,,86.4,51.125,129.2,,78.5,79.0,,,,,,50.4140128915,43.8337920338,41.222017394,,30.1162039145,16.6559395966,,,,,,50.4140128915,43.8337920338,41.222017394,,30.1162039145,16.6559395966,,,,,
135,122.75,110.055555556,87.8888888889,,75.6666666667,64.5,103.0,71.25,66.0,67.0,,-17.25,-0.0555555555556,-1.66666666667,,14.3333333333,22.5,103.0,-37.25,-66.0,67.0,,42.3161760064,44.9752272039,33.2951206483,,32.6019953775,29.5037387467,34.3780960125,22.361418794,16.700522491,13.9224559813,,42.3161760064,44.9752272039,32.0154075034,,32.6019953775,29.5037387467,34.3780960125,22.361418794,16.700522491,13.9224559813,
136,123.285714286,101.75,94.2,,,94.8,140.0,114.0,128.0,117.5,,14.4285714286,63.75,29.6,,,18.4,140.0,-23.0,128.0,117.5,,45.1400749247,42.4477060582,35.9334925904,,,33.2956383538,33.8649982942,22.6546725704,21.1681214258,19.0890033474,,45.1400749247,42.4477060582,35.9334925904,,,33.2956383538,33.8649982942,22.6546725704,21.1681214258,19.0890033474,
137,109.25,101.833333333,101.8,,61.0,57.6666666667,,83.0,27.0,,,59.25,23.5,101.8,,61.0,21.6666666667,,55.0,27.0,,,47.5501432334,41.3158231385,38.3841217035,,23.5390065256,25.7758251117,,21.6036826867,18.8191319607,,,47.5501432334,41.3158231385,38.3841217035,,23.5390065256,25.7758251117,,21.6036826867,18.8191319607,,
138,64.25,80.7777777778,132.0,,,89.5,,,,,,64.25,38.3333333333,29.0,,,-22.5,,,,,,39.46608102,44.3948287154,44.8787565398,,,20.730071877,,,,,,39.46608102,44.3948287154,44.8787565398,,,20.730071877,,,,,
139,102.0,92.8333333333,95.75,,21.0,100.5,,,50.5,,,39.6,6.16666666667,-9.75,,21.0,100.5,,,50.5,,,42.6030468957,48.7785240642,23.9690249945,,27.4255778799,33.9718295773,,,18.9440776134,,,42.6030468957,48.7785240642,23.9690249945,,27.4255778799,33.9718295773,,,18.9440776134,,
140,133.0,76.4,108.5,,94.0,91.75,,97.3333333333,73.0,,,86.3333333333,74.0,5.5,,-94.0,-48.75,,-97.3333333333,-73.0,,,61.9934024098,42.8221188592,44.6354615793,,32.3342802069,37.8866230303,,21.7946867097,16.8537150942,,,61.9934024098,42.8221188592,44.6354615793,,32.3342802069,37.8866230303,,21.7946867097,16.8537150942,,
141,,67.8333333333,44.75,,,,,,,,,,56.0,20.75,,,,,,,,,,43.318967618,32.3050501769,,,,,,,,,,43.318967618,32.3050501769,,,,,,,,
142,139.0,95.0526315789,106.214285714,,87.5,107.333333333,,93.0,104.333333333,,,139.0,30.3157894737,52.9285714286,,-34.5,-70.0,,-27.5714285714,27.0,,,49.2590900638,42.9982327404,33.7585027485,,40.2892676791,25.4519807724,,21.8788383411,21.0649659456,,,49.2590900638,42.9982327404,33.7585027485,,40.2892676791,25.4519807724,,21.8788383411,21.0649659456,,
143,86.8,112.875,113.714285714,,7.0,89.0,140.0,14.3333333333,16.0,,,-2.4,71.5,-38.5714285714,,-7.0,42.3333333333,-140.0,-14.3333333333,-16.0,,,46.9272243384,48.1039100202,33.4851787889,,27.4526813675,23.5360344562,33.5634067148,21.1078756317,20.8665298464,,,46.9272243384,48.1039100202,33.4851787889,,27.4526813675,23.5360344562,33.5634067148,21.1078756317,20.8665298464,,
144,100.0,92.0,114.777777778,,,95.5,,86.25,19.0,30.0,,100.0,64.1333333333,114.777777778,,,48.5,,86.25,19.0,30.0,,39.0513318707,45.796095597,39.7649767643,,,31.6529042026,,21.1771853618,17.7576113073,18.4220642617,,39.0513318707,45.796095597,38.3990945967,,,31.6529042026,,21.1771853618,17.7576113073,18.4220642617,
145,83.0,78.3076923077,49.8039215686,,,118.25,,80.0,,,,83.0,26.4615384615,22.9803921569,,,68.75,,80.0,,,,40.7821306447,39.3652316832,32.2996109227,,,28.654488221,,19.0385643559,,,,40.7821306447,39.3652316832,32.2996109227,,,28.654488221,,19.0385643559,,,
146,39.5,58.8571428571,,,,,,,,,,39.5,35.1428571429,,,,,,,,,,44.1702056019,39.2546467969,,,,,,,,,,44.1702056019,39.2546467969,,,,,,,,,
147,94.0,84.6666666667,80.5714285714,,139.0,105.0,85.5,104.0,,,,94.0,46.4444444444,-14.2857142857,,139.0,26.3333333333,-54.5,-22.6666666667,,,,44.5237477772,43.6190664168,33.8362740426,,31.8081262967,29.8494612185,28.6860310323,20.2308110364,,,,44.5237477772,43.6190664168,33.8362740426,,31.8081262967,29.8494612185,28.6860310323,20.2308110364,,,
148,130.4,113.125,96.3571428571,,80.5,78.5,102.0,90.75,85.0,,,130.4,33.375,-3.21428571429,,13.5,8.5,-102.0,-53.75,-85.0,,,50.0858867884,45.3715478597,37.3702608892,,29.4458694446,30.3521818655,27.1519578545,22.4432678728,19.5076394369,,,50.0858867884,45.3715478597,37.3702608892,,29.4458694446,30.3521818655,27.1519578545,22.4432678728,19.5076394369,,
149,112.75,105.333333333,94.3333333333,,53.0,98.0,,89.0,,,,-46.75,47.3333333333,44.3333333333,,-53.0,98.0,,89.0,,,,49.2533018036,40.6590871526,35.8837919617,,28.3618477316,31.5274960523,,19.3137634309,,,,49.2533018036,40.6590871526,35.8837919617,,28.3618477316,31.5274960523,,19.3137634309,,,
150,80.0,94.5,60.75,,62.5,66.0,81.0,77.0,,,,80.0,94.5,60.75,,-6.5,35.0,81.0,77.0,,,,39.9292124344,40.8833267489,30.9039794261,,26.9380349935,35.6976452972,23.8517398612,14.504459439,,,,39.9292124344,40.8833267489,30.9039794261,,26.9380349935,35.6976452972,23.8517398612,14.504459439,,,
151,88.9444444444,112.0,84.6666666667,,80.2857142857,96.0,,110.0,89.8571428571,90.2,,33.0555555556,112.0,28.0,,19.1428571429,96.0,,54.4,16.4285714286,17.0,,40.2167461762,44.1362998635,23.7917574763,,26.199214205,41.696486695,,20.4710004878,16.8257164998,20.9297268185,,40.2167461762,44.1362998635,23.7917574763,,26.199214205,41.696486695,,20.4710004878,16.8257164998,19.4139964106,
152,91.4166666667,,80.3333333333,,,,,62.0,,,,42.5833333333,,13.6666666667,,,,,-15.3333333333,,,,39.7211462121,,26.3478389334,,,,,21.4962921914,,,,39.7211462121,,26.3478389334,,,,,21.4962921914,,,
153,63.0,96.5,84.0,,,117.0,,,118.0,,,63.0,96.5,84.0,,,117.0,,,118.0,,,32.5867368372,49.0123897385,23.669383808,,,32.0478476095,,,24.714232462,,,32.5867368372,49.0123897385,23.669383808,,,32.0478476095,,,24.714232462,,
154,98.3333333333,100.8,100.0,,59.0,,,89.0,60.0,,,16.3333333333,99.6,100.0,,-59.0,,,89.0,60.0,,,36.9710558227,45.2870443609,19.7124202974,,21.8002968481,,,18.5029139179,12.9439326336,,,36.9710558227,45.2870443609,19.7124202974,,21.8002968481,,,18.5029139179,12.9439326336,,
155,98.0,109.4,,,,114.0,,,,,,98.0,76.2,,,,-114.0,,,,,,42.8680272477,44.4752236595,,,,21.2370921843,,,,,,42.8680272477,44.4752236595,,,,21.2370921843,,,,,
156,19.5,,85.0,,69.0,86.0,,76.0,42.0,47.0,,19.5,,27.0,,69.0,-11.0,,-76.0,-10.0,-47.0,,37.1998358734,,32.251888355,,22.7204008101,18.7206822996,,20.5929239446,20.7507121017,17.9050501256,,37.1998358734,,32.251888355,,22.7204008101,18.7206822996,,20.5929239446,20.7507121017,17.9050501256,
157,121.0,96.5,72.6666666667,,,98.0,118.0,,,,,121.0,37.0,-72.6666666667,,,1.0,-118.0,,,,,43.6565170804,44.2420343014,39.1868756841,,,25.8265405029,22.3107991923,,,,,43.6565170804,44.2420343014,39.1868756841,,,25.8265405029,22.3107991923,,,,
158,69.3333333333,110.0,94.0,,,91.0,,159.0,,,,-26.0,110.0,-94.0,,,91.0,,159.0,,,,36.7960192983,51.6907216487,26.4038251916,,,22.7638563049,,24.8466961552,,,,36.7960192983,51.6907216487,26.4038251916,,,22.7638563049,,24.8466961552,,,
159,,99.6666666667,88.0,,,50.0,,84.0,128.0,,,,99.6666666667,88.0,,,-50.0,,84.0,128.0,,,,45.2078991664,35.0403878059,,,37.9137259064,,21.3330138639,20.1771776649,,,,45.2078991664,35.0403878059,,,37.9137259064,,21.3330138639,20.1771776649,,
160,27.0,62.3333333333,95.6666666667,,,,,,,,,27.0,-41.0,95.6666666667,,,,,,,,,32.2851452578,39.2789510657,31.458291035,,,,,,,,,32.2851452578,39.2789510657,31.458291035,,,,,,,,
161,61.0,,,,,,,,,,,61.0,,,,,,,,,,,32.2420607465,,,,,,,,,,,32.2420607465,,,,,,,,,,
162,53.0,63.5,45.0,,,77.0,,,,,,53.0,63.5,45.0,,,-77.0,,,,,,43.4410945237,54.9884221834,30.4986042112,,,22.5915182595,,,,,,43.4410945237,54.9884221834,30.4986042112,,,22.5915182595,,,,,
163,63.0,97.0,59.0,,,48.0,,,,,,63.0,97.0,-21.0,,,48.0,,,,,,32.1558917238,45.8033332661,27.4789681159,,,20.9151939584,,,,,,32.1558917238,45.8033332661,27.4789681159,,,20.9151939584,,,,,
164,128.0,96.0,98.9285714286,107.5,79.0,89.8888888889,,102.916666667,92.1666666667,85.6666666667,,-128.0,-96.0,30.3571428571,-107.5,44.5,-52.7777777778,,10.9166666667,24.1666666667,21.6666666667,,42.8399014341,46.0212586344,32.7658815546,28.5880288378,22.7501188262,24.8485298992,,21.5156358466,18.128078651,19.570897976,,42.8399014341,46.0212586344,30.2119883806,28.5880288378,22.7501188262,24.8485298992,,21.5156358466,18.128078651,19.570897976,
165,106.6,103.0,107.333333333,,37.0,81.6666666667,,92.0,91.0,,,64.6,-13.0,107.333333333,,37.0,-15.0,,38.5,91.0,,,39.348840366,50.1744794319,34.0740535242,,21.3263672233,32.2462998294,,20.7530791622,17.6317348912,,,39.348840366,50.1744794319,34.0740535242,,21.3263672233,32.2462998294,,20.7530791622,17.6317348912,,
166,92.5,87.2,76.5,,,57.5,,130.0,131.0,,,26.0,26.0,29.5,,,-57.5,,130.0,-131.0,,,43.5691590721,40.5627055147,25.6815356789,,,26.441916807,,38.4492087451,23.2891733559,,,43.5691590721,40.5627055147,25.6815356789,,,26.441916807,,38.4492087451,23.2891733559,,
167,83.0,131.666666667,95.0,,,110.0,,36.0,126.0,77.0,82.0,83.0,131.666666667,37.3333333333,,,110.0,,-36.0,126.0,-77.0,82.0,42.9891969556,46.133529035,31.3579287103,,,30.7519748481,,15.421339923,24.1110493031,12.5437516183,11.4258525705,42.9891969556,46.133529035,31.3579287103,,,30.7519748481,,15.421339923,24.1110493031,12.5437516183,11.4258525705
168,120.666666667,101.714285714,131.25,,89.5,101.0,,79.0,50.0,86.5,,120.666666667,101.714285714,24.25,,9.5,11.6666666667,,79.0,13.0,86.5,,39.4684429012,42.331978862,33.1273076206,,26.0136466718,38.6283524024,,19.5211148795,17.4774603123,14.9443515482,,39.4684429012,42.331978862,33.1273076206,,26.0136466718,38.6283524024,,19.5211148795,17.4774603123,14.9443515482,
169,41.5,106.6,82.0,,95.0,87.0,,127.5,113.0,,,41.5,73.8,9.0,,-95.0,87.0,,127.5,113.0,,,31.1816911974,43.3406197222,42.9130784643,,27.5001575047,26.6913871592,,22.6665110166,18.898387081,,,31.1816911974,43.3406197222,42.9130784643,,27.5001575047,26.6913871592,,22.6665110166,18.898387081,,
170,102.0,138.8,124.5,22.0,,90.75,,51.5,74.0,,,102.0,73.6,124.5,22.0,,90.75,,51.5,74.0,,,39.7357753907,48.8233594319,39.6991802098,28.4313577953,,28.9161037466,,18.0620311368,15.622890139,,,39.7357753907,48.8233594319,39.6991802098,28.4313577953,,28.9161037466,,18.0620311368,15.622890139,,
171,,75.0,106.0,,,,140.0,,,,,,-75.0,106.0,,,,-140.0,,,,,,43.8250699569,39.3587065797,,,,32.3570403971,,,,,,43.8250699569,39.3587065797,,,,32.3570403971,,,,
172,92.3333333333,67.375,116.0,,,63.0,,80.0,,,,92.3333333333,58.875,-37.3333333333,,,-63.0,,-80.0,,,,40.5926652611,40.9625003998,20.1081270089,,,30.2867576961,,21.1379380313,,,,40.5926652611,40.9625003998,20.1081270089,,,30.2867576961,,21.1379380313,,,
173,88.0,112.0,124.5,,,9.0,,,,,,-88.0,112.0,-18.5,,,-9.0,,,,,,38.1557195103,57.9845311386,40.2207468876,,,19.4011391545,,,,,,38.1557195103,57.9845311386,40.2207468876,,,19.4011391545,,,,,
174,91.5,75.3333333333,43.25,,121.0,68.0,60.0,45.5,61.5,,,91.5,75.3333333333,43.25,,121.0,68.0,60.0,45.5,61.5,,,39.6486753989,46.8301169441,34.0567107916,,25.3493105033,25.7859374034,32.6978000701,16.3804860173,22.45548331,,,39.6486753989,46.8301169441,34.0567107916,,25.3493105033,25.7859374034,32.6978000701,16.3804860173,22.45548331,,
175,72.0,127.0,65.5,,,133.0,,59.5,,,,72.0,127.0,65.5,,,133.0,,59.5,,,,34.1063283238,43.7177839665,33.475247137,,,9.44861442478,,21.8313951147,,,,34.1063283238,43.7177839665,33.475247137,,,9.44861442478,,21.8313951147,,,
176,,102.333333333,28.0,,,54.0,,,,,,,-29.6666666667,-28.0,,,54.0,,,,,,,47.1208773664,27.626001153,,,20.3550953109,,,,,,,47.1208773664,27.626001153,,,20.3550953109,,,,,
177,33.0,94.0,,,,82.3333333333,,,,,,33.0,-94.0,,,,7.66666666667,,,,,,37.291392117,56.4729021494,,,,26.3532332917,,,,,,37.291392117,56.4729021494,,,,26.3532332917,,,,,
178,,68.0,137.0,,,,,,,,,,68.0,-137.0,,,,,,,,,,46.9775616886,45.1957975067,,,,,,,,,,46.9775616886,45.1957975067,,,,,,,,
179,80.8,99.4285714286,92.8461538462,,66.75,72.0,,49.0,68.0,,,38.4,63.7142857143,-1.0,,-26.75,17.3333333333,,-21.5,68.0,,,31.6740863016,41.1840172608,33.4331824257,,27.2928057842,26.2294936985,,17.6662312071,16.2496534102,,,31.6740863016,41.1840172608,33.4331824257,,27.2928057842,26.2294936985,,17.6662312071,16.2496534102,,
180,104.0,89.7,70.875,116.0,93.0,85.3333333333,,68.5,52.0,56.0,,61.0,67.3,-21.125,-116.0,93.0,85.3333333333,,68.5,52.0,56.0,,50.6944889939,42.8876403008,30.5910909583,30.9962891717,25.1103443066,32.3350002888,,18.5030616848,16.985467221,16.8710218533,,50.6944889939,42.8876403008,30.5910909583,30.9962891717,25.1103443066,32.3350002888,,18.5030616848,16.985467221,16.8710218533,
181,79.0,97.1666666667,94.7142857143,105.0,83.75,87.3333333333,,94.5714285714,109.0,,,-53.0,29.1666666667,39.0,-105.0,43.25,-12.6666666667,,31.7142857143,-40.3333333333,,,40.2564106095,34.4750426052,31.6537237987,25.3470399642,28.6324770882,28.2720039567,,22.1830286722,18.5708693198,,,40.2564106095,34.4750426052,31.6537237987,25.3470399642,28.6324770882,28.2720039567,,22.1830286722,18.5708693198,,
182,78.3333333333,105.666666667,91.7142857143,,90.5,102.5,,47.0,,,,74.3333333333,52.1111111111,30.0,,-90.5,-10.5,,10.0,,,,35.5130718009,45.4820307736,29.0420015277,,27.0283873997,27.6210606987,,14.5726322942,,,,35.5130718009,45.4820307736,29.0420015277,,27.0283873997,27.6210606987,,14.5726322942,,,
183,87.75,106.692307692,57.5555555556,,98.5,103.333333333,,106.4,105.0,59.0,,52.75,88.3846153846,14.6666666667,,-29.5,72.6666666667,,90.0,105.0,59.0,,46.860373467,42.0083664369,26.5730929535,,21.3119047849,31.7363054357,,24.4704933793,16.2910122719,16.7417683192,,46.860373467,42.0083664369,26.5730929535,,21.3119047849,31.7363054357,,24.4704933793,16.2910122719,16.7417683192,
184,,,,,,86.0,,,129.0,,,,,,,,86.0,,,129.0,,,,,,,,20.0104192202,,,23.3786126102,,,,,,,,20.0104192202,,,23.3786126102,,
185,,108.0,95.0,,,85.0,,118.0,,,,,108.0,11.0,,,85.0,,-16.0,,,,,45.4404470179,30.5231014329,,,19.9673347088,,25.4466949342,,,,,45.4404470179,30.5231014329,,,19.9673347088,,25.4466949342,,,
186,52.0,93.25,,,,114.5,,,,,,26.0,3.75,,,,-114.5,,,,,,38.7850996901,44.7476957318,,,,30.4843349231,,,,,,38.7850996901,44.7476957318,,,,30.4843349231,,,,,
187,111.0,50.75,44.0,,,92.0,,,,,,-111.0,50.75,44.0,,,92.0,,,,,,33.1538602162,38.4219616301,31.8455699878,,,29.8902846212,,,,,,33.1538602162,38.4219616301,31.8455699878,,,29.8902846212,,,,,
188,90.0,127.888888889,81.5,,97.5,91.5,118.0,,95.5,,,-62.0,-127.888888889,-23.5,,-97.5,-91.5,-118.0,,-17.5,,,44.2092438981,41.8545455511,29.3030051607,,27.8900510096,22.4476352537,20.9751793406,,21.0385260769,,,44.2092438981,41.8545455511,29.3030051607,,27.8900510096,22.4476352537,20.9751793406,,21.0385260769,,
189,85.0,112.75,102.75,52.0,86.5,108.2,,54.0,97.0,,,85.0,66.25,60.75,52.0,26.5,65.0,,54.0,97.0,,,38.3335584612,41.5617894493,29.3513086382,25.5033855063,28.297251774,34.5013936367,,17.7203238811,22.5957145396,,,38.3335584612,41.5617894493,29.3513086382,25.5033855063,28.297251774,34.5013936367,,17.7203238811,22.5957145396,,
190,,138.5,123.222222222,35.0,,113.0,,111.333333333,,,,,138.5,123.222222222,35.0,,113.0,,111.333333333,,,,,50.2712175625,36.7685772811,30.0365963832,,29.7610310872,,24.8911030997,,,,,50.2712175625,36.7685772811,30.0365963832,,29.7610310872,,24.8911030997,,,
191,125.5,109.090909091,107.777777778,,110.0,110.333333333,,102.0,60.0,,,125.5,-37.6363636364,-9.11111111111,,-110.0,-28.3333333333,,-102.0,-60.0,,,41.9113357832,39.5213889227,32.4304609992,,25.8416356084,29.9387423825,,20.6616799087,11.3498057138,,,41.9113357832,39.5213889227,32.4304609992,,25.8416356084,29.9387423825,,20.6616799087,11.3498057138,,
192,,131.666666667,52.0,,107.0,,,87.5,131.0,,,,131.666666667,-52.0,,-107.0,,,-87.5,-131.0,,,,52.6875321754,22.856486471,,24.5933301705,,,17.4331549458,22.1689760609,,,,52.6875321754,22.856486471,,24.5933301705,,,17.4331549458,22.1689760609,,
193,52.0,,86.0,,,,,,,,,52.0,,86.0,,,,,,,,,43.0235185933,,38.8781058572,,,,,,,,,43.0235185933,,38.8781058572,,,,,,,,
194,105.0,55.0,,,,90.0,,,76.0,,,105.0,-55.0,,,,90.0,,,76.0,,,42.9804340819,38.2429166143,,,,40.2277113133,,,15.60338574,,,42.9804340819,38.2429166143,,,,40.2277113133,,,15.60338574,,
195,,122.0,87.0,,,,,,63.0,,,,122.0,43.6666666667,,,,,,63.0,,,,44.3090857951,30.8457405627,,,,,,10.7638835634,,,,44.3090857951,30.8457405627,,,,,,10.7638835634,,
196,24.0,105.25,17.5,,,129.0,,,20.0,,,24.0,58.25,17.5,,,129.0,,,20.0,,,42.8942650592,50.1494505098,37.5671764131,,,8.54383968652,,,23.6525946976,,,42.8942650592,50.1494505098,37.5671764131,,,8.54383968652,,,23.6525946976,,
197,145.0,103.75,71.5,,,86.0,,68.0,,,,145.0,44.25,71.5,,,86.0,,68.0,,,,38.9092339115,43.3500067606,25.3159613504,,,19.4503205727,,16.6502799301,,,,38.9092339115,43.3500067606,25.3159613504,,,19.4503205727,,16.6502799301,,,
198,,120.0,97.0,,,63.0,,31.0,70.0,,,,120.0,97.0,,,63.0,,31.0,70.0,,,,42.6617881506,37.1546253089,,,26.5664760624,,14.6587564692,15.636703094,,,,42.6617881506,37.1546253089,,,26.5664760624,,14.6587564692,15.636703094,,
199,,73.0,125.0,,,62.0,,,,,,,73.0,-125.0,,,62.0,,,,,,,31.4119468298,34.8270868349,,,19.36415155,,,,,,,31.4119468298,34.8270868349,,,19.36415155,,,,,
200,120.5,144.0,81.3333333333,,33.0,81.25,44.0,59.0,,,,120.5,144.0,-15.3333333333,,-33.0,-18.75,44.0,-29.0,,,,39.1275649225,56.9332240751,32.7822417395,,23.4296826623,32.5531241143,31.5776027751,16.4770948972,,,,39.1275649225,56.9332240751,32.7822417395,,23.4296826623,32.5531241143,31.5776027751,16.4770948972,,,
201,37.0,86.3529411765,83.25,,86.3333333333,77.25,,82.3333333333,,,,32.0,82.7058823529,59.75,,86.3333333333,77.25,,34.3333333333,,,,46.8495837301,41.1565217325,32.9833413224,,27.1064713942,34.609530959,,16.1562880977,,,,46.8495837301,41.1565217325,32.9833413224,,27.1064713942,34.609530959,,16.1562880977,,,
202,130.0,124.571428571,124.333333333,,,101.0,,94.75,100.5,,,19.6,89.4285714286,5.0,,,43.6666666667,,67.75,-30.5,,,41.0783907396,41.8828746846,33.4230634112,,,31.6261675797,,24.3640680374,18.601247998,,,41.0783907396,41.8828746846,33.4230634112,,,31.6261675797,,24.3640680374,18.601247998,,
203,156.0,75.1428571429,99.6,28.0,,68.0,91.0,47.0,39.0,,,156.0,32.2857142857,8.8,28.0,,68.0,-91.0,47.0,-39.0,,,59.5420597439,39.9512533624,30.5895281988,30.0053454108,,20.1512583951,31.448349241,21.8127622295,10.8327915776,,,59.5420597439,39.9512533624,30.5895281988,30.0053454108,,20.1512583951,31.448349241,21.8127622295,10.8327915776,,
204,13.0,11.75,,,,5.0,,16.0,,,,-2.0,11.75,,,,5.0,,16.0,,,,37.9558682865,33.4191908181,,,,19.1259511284,,14.4002494012,,,,37.9558682865,33.4191908181,,,,19.1259511284,,14.4002494012,,,
205,,123.714285714,54.0,,,,,72.0,,,,,90.2857142857,-5.0,,,,,72.0,,,,,44.3133393795,34.5092690344,,,,,16.4232683967,,,,,44.3133393795,34.5092690344,,,,,16.4232683967,,,
206,14.0,121.0,,,,106.0,,62.0,70.0,,,-14.0,121.0,,,,-106.0,,-62.0,-70.0,,,37.2179252182,37.3432918434,,,,34.2170875241,,14.3140803785,15.2920270032,,,37.2179252182,37.3432918434,,,,34.2170875241,,14.3140803785,15.2920270032,,
207,,21.0,,,,71.5,,,26.0,,,,21.0,,,,71.5,,,26.0,,,,49.5795805928,,,,18.477870614,,,15.2489424919,,,,49.5795805928,,,,18.477870614,,,15.2489424919,,
208,18.0,79.5,,,,,,74.0,71.0,,,-18.0,79.5,,,,,,74.0,-71.0,,,37.1317561955,53.0065346615,,,,,,16.1763503053,22.3445843379,,,37.1317561955,53.0065346615,,,,,,16.1763503053,22.3445843379,,
209,106.0,99.0,158.5,,,98.0,,102.0,,,,-106.0,-99.0,-158.5,,,-98.0,,-102.0,,,,37.0886716842,37.3435021763,38.7334835322,,,25.2356242847,,19.8861587045,,,,37.0886716842,37.3435021763,38.7334835322,,,25.2356242847,,19.8861587045,,,
210,,,,,,18.0,,37.0,,,,,,,,,18.0,,-10.0,,,,,,,,,16.365752195,,18.3181186715,,,,,,,,,16.365752195,,18.3181186715,,,
211,121.0,91.6666666667,95.0,,,136.0,,72.0,60.0,,,-121.0,91.6666666667,95.0,,,-136.0,,72.0,60.0,,,32.1198319439,44.5846680843,20.6329185761,,,16.2034520284,,18.4321152698,15.0766044465,,,32.1198319439,44.5846680843,20.6329185761,,,16.2034520284,,18.4321152698,15.0766044465,,
212,103.0,,,,,82.0,,,,,,103.0,,,,,82.0,,,,,,32.0767474326,,,,,32.3130272406,,,,,,32.0767474326,,,,,32.3130272406,,,,,
213,36.0,82.0,59.0,,,91.0,,,,,,-36.0,82.0,59.0,,,91.0,,,,,,47.4225709398,51.7063039341,31.7162660418,,,26.7842091948,,,,,,47.4225709398,51.7063039341,31.7162660418,,,26.7842091948,,,,,
214,117.333333333,93.5,95.5,,,99.0,,,,,,117.333333333,93.5,8.5,,,8.33333333333,,,,,,44.6167270597,43.8491064333,27.2414413181,,,24.8229614698,,,,,,44.6167270597,43.8491064333,27.2414413181,,,24.8229614698,,,,,
215,,,,,,37.0,,50.0,,,,,,,,,37.0,,-50.0,,,,,,,,,18.6520215036,,15.8747587259,,,,,,,,,18.6520215036,,15.8747587259,,,
216,121.0,,,,,11.0,,,,,,121.0,,,,,-11.0,,,,,,31.9044093872,,,,,32.1406891952,,,,,,31.9044093872,,,,,32.1406891952,,,,,
217,,88.0,59.0,,,101.5,,121.0,,,,,4.66666666667,2.33333333333,,,-101.5,,121.0,,,,,39.1547227368,38.8225470894,,,18.5267479458,,20.0433565353,,,,,39.1547227368,38.8225470894,,,18.5267479458,,20.0433565353,,,
219,66.0,,,,,,,,,,,66.0,,,,,,,,,,,31.7751558532,,,,,,,,,,,31.7751558532,,,,,,,,,,
